PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Activity Comment,Data Validity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments,Comment reflecting whether the values for this activity measurement are likely to be correct
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,,
1,103163782,89594,CN1CCC[C@H]1C2=CN=CC=C2,Unspecified,,,,,Inhibition,=,-15.48,%,Average; N=2,Outside typical range
2,103163783,91462,C1C[C@H](NC1)C2=CN=CC=C2,Unspecified,,,,,Inhibition,=,12.8,%,Average; N=2,
3,103163813,4583,CC1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O,Active,,,,1.25,MIC,=,1250,nM,Median N= 2,
4,103163814,4421,CCN1C=C(C(=O)C2=C1N=C(C=C2)C)C(=O)O,Unspecified,,,,10,MIC,>,10000,nM,Median N= 2; Maxinhib 24.4 Pct,
5,103163858,130313,CC1([C@@H](N2[C@H](S1(=O)=O)CC2=O)C(=O)O)C,Unspecified,,,,20,MIC,>,20000,nM,Median N= 2; Maxinhib -0.9 Pct,
6,103163909,4539,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O,Active,,,,5,MIC,=,5000,nM,Median N= 2,
7,103164068,107838,C1CNCC2=C1C3=CC=CC=C3N2,Unspecified,,,,,Inhibition,=,7.42,%,Average; N=2,
8,103164186,3363,C1C(C(OC1N2C=C(C(=O)NC2=O)F)CO)O,Unspecified,,,,0.0781,MIC,<=,78.1,nM,Median N= 2,
9,103164254,3702,CC1CC2=CC=CC=C2N1NC(=O)C3=CC(=C(C=C3)Cl)S(=O)(=O)N,Unspecified,,,,,Inhibition,=,5.44,%,Average; N=2,
10,103164270,3373,CCOC(=O)C1=C2CN(C(=O)C3=C(N2C=N1)C=CC(=C3)F)C,Unspecified,,,,,Inhibition,=,-0.36,%,Average; N=2,
11,103164349,2375,CC(CS(=O)(=O)C1=CC=C(C=C1)F)(C(=O)NC2=CC(=C(C=C2)C#N)C(F)(F)F)O,Unspecified,,,,,Inhibition,=,-1.51,%,Average; N=2,
12,103164353,3016,CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3,Unspecified,,,,,Inhibition,=,9.71,%,Average; N=2,
13,103164483,5288209,CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C/C(=O)NC2=CC=C(C=C2)O)/C)/C,Unspecified,,,,20,MIC,>,20000,nM,Median N= 2; Maxinhib 6.2 Pct,
14,103164548,5284616,C[C@@H]1CC[C@H]2C[C@@H](/C(=C/C=C/C=C/[C@H](C[C@H](C(=O)[C@@H]([C@@H](/C(=C/[C@H](C(=O)C[C@H](OC(=O)[C@@H]3CCCCN3C(=O)C(=O)[C@@]1(O2)O)[C@H](C)C[C@@H]4CC[C@H]([C@@H](C4)OC)O)C)/C)O)OC)C)C)/C)OC,Unspecified,,,,10,MIC,>,10000,nM,Median N= 2; Maxinhib 14.7 Pct,
15,103164678,4114,COC1=C2C(=CC3=C1OC=C3)C=CC(=O)O2,Unspecified,,,,,Inhibition,=,13.34,%,Average; N=2,
16,103164734,4100,CC(=O)N=C1N(N=C(S1)S(=O)(=O)N)C,Unspecified,,,,,Inhibition,=,5.78,%,Average; N=2,
17,103164735,1986,CC(=O)NC1=NN=C(S1)S(=O)(=O)N,Unspecified,,,,,Inhibition,=,15.7,%,Average; N=2,
18,103164758,3998,C1=CC(=CC=C1CN)S(=O)(=O)N,Unspecified,,,,20,MIC,>,20000,nM,Median N= 2; Maxinhib 11.5 Pct,
19,103164817,5578,COC1=CC(=CC(=C1OC)OC)CC2=CN=C(N=C2N)N,Active,,,,5,MIC,=,5000,nM,Median N= 2,
20,103164817,5578,COC1=CC(=CC(=C1OC)OC)CC2=CN=C(N=C2N)N,Active,,,,5,MIC,=,5000,nM,Median N= 2,
21,103164873,2249,CC(C)NCC(COC1=CC=C(C=C1)CC(=O)N)O,Unspecified,,,,,Inhibition,=,9.69,%,Average; N=2,
22,103165148,56909,C1=CC=C2C(=C1)C=CC3=C2C(=C(O3)[N+](=O)[O-])CCO,Active,,,,2.5,MIC,=,2500,nM,Median N= 2; Range 5 - 2.5  Um,
23,103165167,2756,CC1=C(N=CN1)CSCCNC(=NC)NC#N,Unspecified,,,,,Inhibition,=,12.6,%,Average; N=2,
24,103165247,5379,CC1CN(CCN1)C2=C(C=C3C(=C2OC)N(C=C(C3=O)C(=O)O)C4CC4)F,Active,,,,0.3125,MIC,=,312.5,nM,Median N= 2,
25,103165295,64971,CC(=C)[C@@H]1CC[C@]2([C@H]1[C@H]3CC[C@@H]4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)O)C)C(=O)O,Unspecified,,,,20,MIC,>,20000,nM,Median N= 2; Maxinhib 10.6 Pct,
26,103165561,3639,C1NC2=CC(=C(C=C2S(=O)(=O)N1)S(=O)(=O)N)Cl,Unspecified,,,,,Inhibition,=,6.38,%,Average; N=2,
27,103165562,3440,C1=COC(=C1)CNC2=CC(=C(C=C2C(=O)O)S(=O)(=O)N)Cl,Unspecified,,,,,Inhibition,=,14.48,%,Average; N=2,
28,103165594,4993,CCC1=C(C(=NC(=N1)N)N)C2=CC=C(C=C2)Cl,Active,,,,5,MIC,=,5000,nM,Median N= 2; Range >10 - 5  Um,
29,103165712,1833,COC1=CC2=C(C=C1)NC=C2CCN,Unspecified,,,,,Inhibition,=,3.43,%,Average; N=2,
30,103165713,444795,CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C/C(=O)O)/C)/C,Unspecified,,,,,Inhibition,=,13.92,%,Average; N=2,
31,103165728,3386,CNCCC(C1=CC=CC=C1)OC2=CC=C(C=C2)C(F)(F)F,Unspecified,,,,,Inhibition,=,7.53,%,Average; N=2,
32,103165751,5329,CC1=CC(=NO1)NS(=O)(=O)C2=CC=C(C=C2)N,Unspecified,,,,,Inhibition,=,-14.52,%,Average; N=2,Outside typical range
33,103165765,135398737,CN1CCN(CC1)C2=NC3=C(C=CC(=C3)Cl)NC4=CC=CC=C42,Unspecified,,,,,Inhibition,=,-2.25,%,Average; N=2,
34,103165933,2712,CN=C1CN(C(=C2C=C(C=CC2=N1)Cl)C3=CC=CC=C3)O,Unspecified,,,,,Inhibition,=,15.47,%,Average; N=2,
35,103165982,5344,CC1=C(ON=C1C)NS(=O)(=O)C2=CC=C(C=C2)N,Unspecified,,,,10,MIC,>,10000,nM,Median N= 2; Maxinhib 12.4 Pct,
36,103166018,5320,CC(=O)NS(=O)(=O)C1=CC=C(C=C1)N,Unspecified,,,,,Inhibition,=,13.64,%,Average; N=2,
